,Address,Location,Date of sale,Bo area (m²),Total Area (m²),Rooms,Plot Area (m²),Closing price (kr)
1725,Husfrejagatan 4,"Kungälv Iskällan,          Kungälvs kommun",29 maj 2015,127,127+174,7,938 ,3 675 000 
1726,Bredsten 330,"Bredsten,          Kungälvs kommun",28 maj 2015,180,NaN,6,3 224 ,2 650 000 
1727,Korpvägen 277,"Kungälv - Ullstorp,          Kungälvs kommun",27 maj 2015,134,NaN,5,518 ,4 730 000 
1728,Kvarnvägen 22,"Kungälv - Ingetorp,          Kungälvs kommun",23 maj 2015,68,68+68,5,1 318 ,2 800 000 
1729,Korpvägen 265,"Kungälv,          Kungälvs kommun",22 maj 2015,133,133+26,5,401 ,4 750 000 
1730,Bagaregatan 15,"Kungälv centralt,          Kungälvs kommun",20 maj 2015,191,NaN,6,735 ,4 525 000 
1731,Västerhöjdsvägen 14,"Kärna,          Kungälvs kommun",19 maj 2015,121,121+20,5,369 ,950 000 
1732,Madängsgatan 13,"Centralt Kungälv,          Kungälvs kommun",19 maj 2015,154,154+15,7,740 ,3 995 000 
1733,Gråstensvägen 37,"Kode,          Kungälvs kommun",18 maj 2015,107,NaN,4,1 374 ,3 420 000 
1734,Klövergången 15,"Kungälv Centralt,          Kungälvs kommun",18 maj 2015,125,NaN,4,401 ,3 350 000 
1735,Hammarberg 885,"Kode,          Kungälvs kommun",13 maj 2015,67,NaN,3,1 195 ,1 850 000 
1736,Kållen 130,"Romelanda,          Kungälvs kommun",8 maj 2015,111,111+53,5,3 756 ,2 775 000 
1737,Vämneröd 120,"Kode,          Kungälvs kommun",6 maj 2015,54,NaN,3,2 283 ,1 595 000 
1738,Duvesjön 344,"Bohuslän,          Kungälvs kommun",1 maj 2015,120,120+50,4,1 136 ,3 325 000 
1739,Otterlyckevägen 13,"Marstrand - Instön,          Kungälvs kommun",30 april 2015,115,NaN,4,975 ,3 300 000 
1740,Kyrkogatan 15,"Marstrandsön,          Kungälvs kommun",30 april 2015,115,115+25,6,367 ,10 000 000 
1741,Björröd 310,"Kode,          Kungälvs kommun",29 april 2015,172,NaN,6,1 514 ,3 510 000 
1742,Hallsbergsvägen 14,"Kode,          Kungälvs kommun",29 april 2015,100,NaN,4,576 ,2 880 000 
1743,Södra Ekelöv 155,"Hålta,          Kungälvs kommun",27 april 2015,140,140+66,6,2 761 ,3 395 000 
1744,Kungälvsvägen 73,"Grinden,          Kungälvs kommun",23 april 2015,93,93+51,5,1 469 ,3 525 000 
1745,Vämneröd 140,"Kode,          Kungälvs kommun",18 april 2015,133,NaN,4,2 639 ,4 100 000 
1746,Stenåldersgatan 36,"Ytterby - Stället,          Kungälvs kommun",16 april 2015,122,NaN,4,349 ,3 950 000 
1747,Västra Röd 340,"Kärna - Harestad,          Kungälvs kommun",16 april 2015,117,117+66,6,1 472 ,2 150 000 
1748,Byvägen 59,"Ödsmålsmosse,          Kungälvs kommun",16 april 2015,104,104+20,4,1 791 ,2 900 000 
1749,Enskiftegatan 17,"Ytterby Tega,          Kungälvs kommun",16 april 2015,145,NaN,5,990 ,3 700 000 
1750,Kristinedalsgatan 15,"Centralt,          Kungälvs kommun",9 april 2015,145,145+80,6,1 191 ,4 300 000 
1751,Sköldgatan 6,"Ytterby - Stället,          Kungälvs kommun",31 mars 2015,96,96+8,3,402 ,3 020 000 
1752,Almvägen 19,"Romelanda Torp,          Kungälvs kommun",30 mars 2015,140,NaN,5,801 ,3 110 000 
1753,Solvagnsgatan 10,"Stället,          Kungälvs kommun",27 mars 2015,139,139+12,5,405 ,4 140 000 
1754,Stora Ryr 135,"Lycke,          Kungälvs kommun",26 mars 2015,194,NaN,8,1 551 ,3 750 000 
1755,Tröskvägen 272,"Ullstorp,          Kungälvs kommun",25 mars 2015,148,148+10,7,678 ,4 870 000 
1756,Apelvägen 13,"Romelanda,          Kungälvs kommun",25 mars 2015,106,106+4,6,449 ,2 850 000 
1757,Prästvägen 715,"Romelanda,          Kungälvs kommun",24 mars 2015,122,122+122,4,1 025 ,3 400 000 
1758,Kovikshamn 200,"Kungälv - Kovikshamn,          Kungälvs kommun",24 mars 2015,90,90+85,3,1 361 ,3 500 000 
1759,Kulperödsvägen 11B,"Kungälv - Hålta,          Kungälvs kommun",24 mars 2015,120,120+127,6,1 007 ,5 100 000 
1760,Hallebäcksvägen 2,"Kode,          Kungälvs kommun",23 mars 2015,73,73+7,4,1 029 ,1 500 000 
1761,Flateby 590,"Harestad,          Kungälvs kommun",20 mars 2015,114,114+65,3,3 853 ,1 995 000 
1762,Fågelstigen 36,"Kungälv,          Kungälvs kommun",20 mars 2015,113,113+5,4,177 ,2 980 000 
1763,Skutviksvägen 6,"Marstrand - Instön,          Kungälvs kommun",19 mars 2015,90,NaN,3,1 506 ,3 350 000 
1764,Munkegärdegatan 320,"Munkegärde,          Kungälvs kommun",19 mars 2015,148,148+36,7,675 ,4 400 000 
1765,Ödsmål 595,"Rörtången,          Kungälvs kommun",19 mars 2015,78,NaN,3,12 760 ,5 000 000 
1766,Norrmannebo 740 A,"Norrmannebo,          Kungälvs kommun",18 mars 2015,84,84+9,5,931 ,1 350 000 
1767,Akvamarinvägen 9,"Kode,          Kungälvs kommun",18 mars 2015,107,NaN,5,745 ,2 700 000 
1768,Vävra 760,"Hålta,          Kungälvs kommun",14 mars 2015,174,NaN,7,1 792 ,5 800 000 
1769,Norrmannebo 800,"Norrmannebo,          Kungälvs kommun",11 mars 2015,150,150+10,6,2 964 ,2 600 000 
1770,Onyxvägen 4,"Kode,          Kungälvs kommun",6 mars 2015,155,NaN,6,669 ,3 600 000 
1771,Kulperödsvägen 17,"Bohuslän,          Kungälvs kommun",5 mars 2015,133,133+119,6,2 141 ,4 200 000 
1772,Rishammarvägen 33,"Kungälv,          Kungälvs kommun",5 mars 2015,112,NaN,4,1 003 ,3 430 000 
1773,Duvesjön 346,"Kungälv - Romelanda,          Kungälvs kommun",3 mars 2015,145,145+7,6,900 ,3 250 000 
1774,Tvetgatan 49,"Bohuslän,          Kungälvs kommun",27 februari 2015,110,NaN,Nan,156 ,2 100 000 
1775,Vitsippegatan 8,"Ytterby,          Kungälvs kommun",27 februari 2015,181,NaN,7,579 ,3 595 000 
1776,Hemvägen 41,"Kungälv - Romelanda,          Kungälvs kommun",26 februari 2015,141,NaN,7,924 ,3 610 000 
1777,Fregattgatan 5,"Centralt,          Kungälvs kommun",26 februari 2015,126,126+65,5,506 ,4 300 000 
1778,Munkholmsgatan 7,"Kungälv,          Kungälvs kommun",26 februari 2015,95,NaN,4,796 ,2 750 000 
1779,Lilla Ryr 200,"Kungälv - Lycke,          Kungälvs kommun",26 februari 2015,60,60+60,2,1 406 ,2 400 000 
1780,Stenåldersgatan 6,"Ytterby Stället,          Kungälvs kommun",21 februari 2015,104,NaN,4,318 ,3 200 000 
